report_date,online_store,upc,retailer_product_code,brand,category,sub_category,product_description,review_date,review_rating,review_title,review_text,is_competitor,manufacturer,market,matched_keywords,time_of_publication,url,review_type,parent_review,manufacturers_response,dimension1,dimension2,dimension3,dimension4,dimension5,dimension6,dimension7,dimension8,verified_purchase,helpful_review_count,review_hash_id
02012019,freshamazon,871811e12,b0142ci6fc,dove mencare,personal care,deos,dove mencare extra fresh antiperspirant deodorant aerosol 250ml,01012019,5,dove mens deodorant,as you get older you know what you like and what is suitable for your body i like all dove products gives you that fresh all over wide awake feeling and no dandruff or flakey skin no smelly apits,0,unilever global,uk,,,httpwwwamazoncoukgpcustomerreviewsrevtavyk1sjmzrefcmcrarpdrvwttlieutf8asinb0142ci6fc,organic,child,,deos,male antiperspirant deodorant,cotc male antiperspirant deodorant,na,na,na,cotc male antiperspirant deodorant,core of the core,true,0,3f129b02ea760323bd59235d97a4f83f
03012019,freshamazon,500018e12,b014dfnnry,marmite,foods,savoury,marmite spread yeast extract 500g,02012019,5,great for a marmite lover,three gigantic marmite jars that will last probably a whole life what else would you possibly wish for order came in time when mentioned safely packed very happy with it,0,unilever global,uk,,,httpwwwamazoncoukgpcustomerreviewsr1k8cmkrj8n9lcrefcmcrarpdrvwttlieutf8asinb014dfnnry,organic,child,,savoury,cotc yeast extract,cotc yeast extract,na,na,na,cotc yeast extract,core of the core,true,0,d7f3b9aae8b3626d683b374e201c8315
03012019,freshamazon,500018e12,b014dfnnry,marmite,foods,savoury,marmite spread yeast extract 500g,02012019,4,vitamin b12,excellent,0,unilever global,uk,,,httpwwwamazoncoukgpcustomerreviewsrdkajkufqrzzrefcmcrarpdrvwttlieutf8asinb014dfnnry,organic,child,,savoury,cotc yeast extract,cotc yeast extract,na,na,na,cotc yeast extract,core of the core,true,0,e58a523d0155a366f1077ac6817ac3b7
03012019,freshamazon,871257e12,b014dfkelc,knorr,foods,savoury,knorr beef stock pot 8 x 28g,02012019,5,a very handy flavour top up to keep in the cupboard,a great flavour top up for slow cooking,0,unilever global,uk,,,httpwwwamazoncoukgpcustomerreviewsr23r4ub57ml2pirefcmcrarpdrvwttlieutf8asinb014dfkelc,organic,parent,,savoury,beef stockpotscubesextractliquidconcentrated,stock pots,na,na,na,stock pots,core of the core,true,0,aaa9bb874f99bb8965cb3b400ebb45c0
03012019,freshamazon,871716e12,b014g37i7e,cif,homecare,hhc,cif citrus bathroom mousse 500ml,02012019,5,very handy,does what is says it does,0,unilever global,uk,,,httpwwwamazoncoukgpcustomerreviewsrj16077ydxib0refcmcrarpdrvwttlieutf8asinb014g37i7e,organic,parent,,hhc,bathroom mousse,bathroom mousse,na,na,na,retailer core of the core,core of the core,false,0,48c71b34d7fe5e9051dd239e153fb0ae
04012019,amazonprimepantry,500018e12,b014dfnnry,marmite,foods,savoury,marmite spread yeast extract 500g,02012019,4,vitamin b12,excellent,0,unilever global,uk,,,httpwwwamazoncoukgpcustomerreviewsrdkajkufqrzzrefcmcrarpdrvwttlieutf8asinb014dfnnry,organic,child,,savoury,yeast extract,cotc yeast extract,na,na,na,cotc yeast extract,core of the core,true,0,573f07c35ec163dfbcaf47dc8347d799
04012019,amazonprimepantry,500018e12,b014dfnnry,marmite,foods,savoury,marmite spread yeast extract 500g,02012019,5,great for a marmite lover,three gigantic marmite jars that will last probably a whole life what else would you possibly wish for order came in time when mentioned safely packed very happy with it,0,unilever global,uk,,,httpwwwamazoncoukgpcustomerreviewsr1k8cmkrj8n9lcrefcmcrarpdrvwttlieutf8asinb014dfnnry,organic,child,,savoury,yeast extract,cotc yeast extract,na,na,na,cotc yeast extract,core of the core,true,0,3f0c32876197dd689669c9e6eafbf037
04012019,amazonprimepantry,871257e12,b014dfkelc,knorr,foods,savoury,knorr beef stock pot 8 x 28g,02012019,5,a very handy flavour top up to keep in the cupboard,a great flavour top up for slow cooking,0,unilever global,uk,,,httpwwwamazoncoukgpcustomerreviewsr23r4ub57ml2pirefcmcrarpdrvwttlieutf8asinb014dfkelc,organic,parent,,savoury,beef stockpotscubesextractliquidconcentrated,stock pots,na,na,na,stock pots,core of the core,true,0,91df7f82f0bee0fb47269ca54ec408d5
06012019,freshamazon,871811e12,b0151i60z4,dove mencare,personal care,deodorants fragrances,dove mencare clean comfort aerosol antiperspirant deodorant 250ml,05012019,4,nearly 5 star,excellent itemgood for men,0,unilever global,uk,,,httpwwwamazoncoukgpcustomerreviewsr2kbibiyjoy5tqrefcmcrarpdrvwttlieutf8asinb0151i60z4,organic,parent,,deodorants fragrances,male antiperspirant deodorant,cotc male antiperspirant deodorant,na,na,na,cotc male antiperspirant deodorant,core of the core,false,0,a089640c9496a7864e3ef8a9df03c4d7
07012019,freshamazon,871257e12,b014dfkxky,knorr,foods,savoury,knorr chicken stock pot 8 x 28g,06012019,5,good,thank you im very happy,0,unilever global,uk,,,httpwwwamazoncoukgpcustomerreviewsr80xwae7tj1hvrefcmcrarpdrvwttlieutf8asinb014dfkxky,organic,parent,,savoury,chicken stockpotscubesextractliquidconcentrated,stock pots,na,na,na,stock pots,core of the core,true,0,1aa09e1db9360e8ce56d73229c2d10c1
07012019,freshamazon,871257e12,b014g2lg1e,knorr,foods,savoury,knorr rich beef stock pot 8 x 28g,06012019,5,good,thank you im very happy,0,unilever global,uk,,,httpwwwamazoncoukgpcustomerreviewsrwyz6ncykc5lnrefcmcrarpdrvwttlieutf8asinb014g2lg1e,organic,parent,,savoury,beef stockpotscubesextractliquidconcentrated,beef stock pots,na,na,na,beef stock pots,core of the core,true,0,0127693e81e38b54ab3ab940fa5f130c
